Opening,Strategy,Opponent,Wins,Losses,Draws,Win %,Games Played
Standard Opening,SimulatedAnnealing1.0,SimulatedAnnealing0.5,19,11,0,63.33,30
Standard Opening,SimulatedAnnealing0.5,Minimax1,9,15,6,37.50,30
Standard Opening,Minimax1,SimulatedAnnealing0.5,15,9,6,62.50,30
Standard Opening,SimulatedAnnealing0.5,Minimax2,10,14,6,41.67,30
Standard Opening,Minimax2,SimulatedAnnealing0.5,14,10,6,58.33,30
Standard Opening,SimulatedAnnealing0.5,MCTS5sec,0,26,4,0.00,30
Standard Opening,MCTS5sec,SimulatedAnnealing0.5,26,0,4,100.00,30
Standard Opening,SimulatedAnnealing0.5,MCTS1sec,0,29,1,0.00,30
Standard Opening,MCTS1sec,SimulatedAnnealing0.5,29,0,1,100.00,30
Standard Opening,SimulatedAnnealing1.0,Minimax1,11,15,4,42.31,30
Standard Opening,Minimax1,SimulatedAnnealing1.0,15,11,4,57.69,30
Standard Opening,SimulatedAnnealing1.0,Minimax2,11,14,5,44.00,30
Standard Opening,Minimax2,SimulatedAnnealing1.0,14,11,5,56.00,30
Standard Opening,SimulatedAnnealing1.0,MCTS5sec,0,29,1,0.00,30
Standard Opening,MCTS5sec,SimulatedAnnealing1.0,29,0,1,100.00,30
Standard Opening,SimulatedAnnealing1.0,MCTS1sec,0,30,0,0.00,30
Standard Opening,MCTS1sec,SimulatedAnnealing1.0,30,0,0,100.00,30
No Opening,Mirror,SimulatedAnnealing0.5,0,7,23,0.00,30
No Opening,SimulatedAnnealing0.5,Mirror,7,0,23,100.00,30
No Opening,Mirror,SimulatedAnnealing1.0,0,11,19,0.00,30
No Opening,SimulatedAnnealing1.0,Mirror,11,0,19,100.00,30
No Opening,Mirror,Minimax1,15,0,15,100.00,30
No Opening,Minimax1,Mirror,0,15,15,0.00,30
No Opening,Mirror,Minimax2,0,15,15,0.00,30
No Opening,Minimax2,Mirror,15,0,15,100.00,30
No Opening,Mirror,MCTS5sec,0,26,4,0.00,30
No Opening,MCTS5sec,Mirror,26,0,4,100.00,30
No Opening,Mirror,MCTS1sec,0,24,6,0.00,30
No Opening,MCTS1sec,Mirror,24,0,6,100.00,30
No Opening,SimulatedAnnealing0.5,SimulatedAnnealing1.0,11,8,11,57.89,30
No Opening,SimulatedAnnealing1.0,SimulatedAnnealing0.5,8,11,11,42.11,30
No Opening,SimulatedAnnealing0.5,Minimax1,8,15,7,34.78,30
No Opening,Minimax1,SimulatedAnnealing0.5,15,8,7,65.22,30
No Opening,SimulatedAnnealing0.5,Minimax2,13,12,5,52.00,30
No Opening,Minimax2,SimulatedAnnealing0.5,12,13,5,48.00,30
No Opening,Defensive,Minimax2,30,0,0,100.00,30
No Opening,Minimax2,Defensive,0,30,0,0.00,30
No Opening,Defensive,MCTS5sec,10,20,0,33.33,30
No Opening,MCTS5sec,Defensive,20,10,0,66.67,30
No Opening,Defensive,MCTS1sec,20,10,0,66.67,30
No Opening,MCTS1sec,Defensive,10,20,0,33.33,30
No Opening,Balanced,Adaptive,10,20,0,33.33,30
No Opening,Adaptive,Balanced,20,10,0,66.67,30
No Opening,Balanced,Mirror,30,0,0,100.00,30
No Opening,Mirror,Balanced,0,30,0,0.00,30
No Opening,Balanced,SimulatedAnnealing0.5,30,0,0,100.00,30
No Opening,SimulatedAnnealing0.5,Balanced,0,30,0,0.00,30
